# Iter         F            Fstep            |grad|        |grad(gap)|     |grad(perp)|     Ei              Ej 
    0   -413.08564453    413.08564453      0.33634480      0.32282885      0.09438941   -413.09260255   -413.10280282
    1   -413.03982600     -0.04581853      0.69921158      0.69310342      0.09221971   -413.07043554   -413.09301116
    2   -413.09261745      0.05279145      0.22224723      0.20511955      0.08555585   -413.09439387   -413.10031831
    3   -413.09547851      0.00286106      0.21579782      0.20817762      0.05683992   -413.09514923   -413.09739557
    4   -413.09741381      0.00193530      0.05579756      0.00032022      0.05579664   -413.09705305   -413.09824017
    5   -413.09783239      0.00041858      0.04768173      0.00384366      0.04752656   -413.09748186   -413.09859046
    6   -413.09951565      0.00168326      0.03121708      0.00500663      0.03081298   -413.09919391   -413.10013095
    7   -413.10028685      0.00077121      0.02933811      0.00660002      0.02858609   -413.09999113   -413.10080576
    8   -413.10144416      0.00115730      0.06589589      0.05998129      0.02728576   -413.10139167   -413.10150079
    9   -413.10189115      0.00044700      0.02084453      0.00618597      0.01990548   -413.10164057   -413.10228072
   10   -413.10219647      0.00030531      0.02554162      0.00081758      0.02552853   -413.10192536   -413.10264030
   11   -413.10303238      0.00083591      0.03829120      0.00938461      0.03712338   -413.10284218   -413.10329176
   12   -413.08093505     -0.02209732      0.40964733      0.40006804      0.08807097   -413.09475542   -413.10911283
   13   -413.10319395      0.02225890      0.04118559      0.01442842      0.03857556   -413.10303877   -413.10339205
   14   -413.10321829      0.00002434      0.04176331      0.01542692      0.03880959   -413.10307008   -413.10340513
   15   -413.10143300     -0.00178529      0.22831934      0.22022283      0.06026295   -413.10194231   -413.10623618
   16   -413.10358181      0.00214881      0.05896241      0.04053034      0.04282356   -413.10353682   -413.10362980
   17   -413.09941433     -0.00416748      0.27367771      0.26629367      0.06314405   -413.10186904   -413.10849164
   18   -413.10409032      0.00467599      0.07125600      0.05497861      0.04532958   -413.10392154   -413.10431124
   19   -413.10436066      0.00027033      0.17770046      0.17125075      0.04744086   -413.10447024   -413.10804450
   20   -413.10512630      0.00076565      0.08560306      0.07259270      0.04536722   -413.10481426   -413.10570308
   21   -413.10668518      0.00155887      0.07292299      0.06019541      0.04116157   -413.10634378   -413.10739199
   22   -413.10640101     -0.00028417      0.12575384      0.11808398      0.04324582   -413.10622006   -413.10906977
   23   -413.10723129      0.00083027      0.07009359      0.06161199      0.03342266   -413.10685401   -413.10821909
   24   -413.10705343     -0.00017785      0.16225519      0.15730173      0.03978585   -413.10678957   -413.10934715
   25   -413.10813162      0.00107819      0.04940131      0.04047713      0.02832122   -413.10797894   -413.10832567
   26   -413.10853290      0.00040128      0.03359305      0.01518369      0.02996579   -413.10843648   -413.10864429
   27   -413.10909345      0.00056055      0.02338036      0.00136323      0.02334058   -413.10888469   -413.10938906
   28   -413.10971715      0.00062370      0.01905867      0.00229399      0.01892011   -413.10954270   -413.10994793
   29   -413.10920930     -0.00050785      0.09227073      0.08320778      0.03987922   -413.10885846   -413.11096395
   30   -413.10992576      0.00071646      0.01400140      0.00535812      0.01293560   -413.10968534   -413.11029066
   31   -413.11012955      0.00020379      0.01175040      0.00717613      0.00930457   -413.10987739   -413.11052304
   32   -413.11013923      0.00000968      0.04180154      0.03955570      0.01351723   -413.11010070   -413.11017995
   33   -413.11026477      0.00012553      0.00933833      0.00274964      0.00892434   -413.11006064   -413.11055105
   34   -413.11028913      0.00002436      0.00827267      0.00178822      0.00807709   -413.11006651   -413.11061380
    0   -413.11029646      0.00000733      0.00850019      0.00264570      0.00807797   -413.11006721   -413.11061298
    1   -413.09025965     -0.02003682      0.34654116      0.30627688      0.16212725   -413.09601592   -413.10662011
    2   -413.11031126      0.02005162      0.00719574      0.00219654      0.00685229   -413.11005009   -413.11069295
    3   -413.11035136      0.00004010      0.00693853      0.00212596      0.00660481   -413.11008985   -413.11073378
    4   -413.11038133      0.00002997      0.01067157      0.00888312      0.00591375   -413.11007830   -413.11086245
    5   -413.11042616      0.00004483      0.00654960      0.00113687      0.00645018   -413.11018444   -413.11076719
    6   -413.11045116      0.00002500      0.00616018      0.00074157      0.00611539   -413.11019794   -413.11081584
    7   -413.11053332      0.00008216      0.00690288      0.00140492      0.00675840   -413.11029794   -413.11086174
    8   -413.11059622      0.00006290      0.01070910      0.00854015      0.00646148   -413.11030208   -413.11105463
    9   -413.11064863      0.00005241      0.00601848      0.00166532      0.00578350   -413.11042307   -413.11095811
   10   -413.11068014      0.00003151      0.00710249      0.00429313      0.00565813   -413.11041525   -413.11106994
   11   -413.11071487      0.00003473      0.00712085      0.00397227      0.00590996   -413.11050464   -413.11099603
   12   -413.11074055      0.00002568      0.00543021      0.00030390      0.00542170   -413.11050389   -413.11107150
   13   -413.11077792      0.00003737      0.00553226      0.00078407      0.00547642   -413.11054435   -413.11110280
   14   -413.11086171      0.00008379      0.00997391      0.00748856      0.00658790   -413.11057599   -413.11129946
   15   -413.11094564      0.00008393      0.01081184      0.00757754      0.00771212   -413.11075927   -413.11118555
   16   -413.11100002      0.00005438      0.00846557      0.00459884      0.00710749   -413.11072944   -413.11140250
   17   -413.11104414      0.00004413      0.00687651      0.00019978      0.00687361   -413.11079679   -413.11139663
   18   -413.11110424      0.00006010      0.00755757      0.00339309      0.00675305   -413.11082752   -413.11152076
   19   -413.11121452      0.00011027      0.00988140      0.00435170      0.00887157   -413.11096953   -413.11156216
   20   -413.11137183      0.00015732      0.00983140      0.00428284      0.00884950   -413.11111316   -413.11174810
   21   -413.11098481     -0.00038702      0.06486336      0.05802510      0.02898867   -413.11053694   -413.11266921
   22   -413.11140716      0.00042235      0.00970963      0.00400415      0.00884554   -413.11109524   -413.11191193
   23   -413.11151645      0.00010929      0.00895927      0.00381410      0.00810686   -413.11124485   -413.11192125
   24   -413.11155743      0.00004098      0.01869097      0.01645925      0.00885694   -413.11118670   -413.11225312
   25   -413.11160408      0.00004665      0.00923666      0.00736066      0.00558001   -413.11127906   -413.11214583
   26   -413.11163136      0.00002728      0.00541783      0.00180408      0.00510863   -413.11136541   -413.11202351
   27   -413.11165389      0.00002253      0.00702523      0.00495336      0.00498177   -413.11141494   -413.11198936
   28   -413.11169075      0.00003686      0.00543282      0.00023147      0.00542788   -413.11142509   -413.11208226
   29   -413.11169573      0.00000498      0.01601543      0.01369879      0.00829683   -413.11152999   -413.11190246
   30   -413.11171929      0.00002356      0.00917731      0.00775006      0.00491524   -413.11150674   -413.11200465
   31   -413.11174068      0.00002139      0.00411574      0.00038358      0.00409782   -413.11147310   -413.11213642
   32   -413.11175443      0.00001375      0.00380328      0.00198943      0.00324146   -413.11146221   -413.11220805
